Age,DBH_Est,Stem,Branch,Leaf,Root,Biomass_Est,CI,Biomass_CI_Lower,Biomass_CI_Upper
14.25,20.164,137.4381,95.8657,6.9924,22.2438,262.54,13.8699,248.6702,276.4099
14.5,20.2987,139.5117,97.6409,7.0335,22.5405,266.7266,13.793,252.9335,280.5196
14.75,20.429,141.534,99.3777,7.0732,22.8293,270.8142,13.7037,257.1105,284.5179
15.0,20.555,143.5053,101.0762,7.1116,23.1105,274.8036,13.6045,261.1991,288.408
15.25,20.6769,145.4263,102.7364,7.1486,23.384,278.6954,13.4982,265.1971,292.1936
15.5,20.7947,147.2976,104.3584,7.1845,23.65,282.4905,13.3878,269.1026,295.8783
15.75,20.9087,149.1198,105.9422,7.2191,23.9087,286.1898,13.2764,272.9134,299.4662
16.0,21.0189,150.8936,107.4882,7.2526,24.1602,289.7945,13.1672,276.6274,302.9617
16.25,21.1255,152.6197,108.9967,7.2849,24.4046,293.3058,13.0632,280.2426,306.369
16.5,21.2285,154.2989,110.4678,7.3161,24.642,296.7248,12.9679,283.7569,309.6928
16.75,21.3281,155.9321,111.902,7.3463,24.8726,300.053,12.8844,287.1686,312.9375
17.0,21.4244,157.52,113.2997,7.3755,25.0966,303.2917,12.8159,290.4758,316.1077
17.25,21.5174,159.0634,114.6613,7.4036,25.3141,306.4424,12.7654,293.677,319.2079
17.5,21.6074,160.5633,115.9873,7.4309,25.5252,309.5066,12.7358,296.7709,322.2424
17.75,21.6944,162.0204,117.2783,7.4572,25.73,312.4859,12.7295,299.7563,325.2154
18.0,21.7784,163.4357,118.5347,7.4826,25.9288,315.3818,12.749,302.6328,328.1308
18.25,21.8596,164.8101,119.7571,7.5071,26.1216,318.1959,12.7961,305.3999,330.992
18.5,21.9381,166.1445,120.946,7.5308,26.3087,320.93,12.8723,308.0577,333.8022
18.75,22.014,167.4396,122.1022,7.5537,26.49,323.5856,12.9787,310.6069,336.5642
19.0,22.0873,168.6965,123.2261,7.5758,26.6659,326.1644,13.1159,313.0485,339.2803
19.25,22.1582,169.9161,124.3184,7.5972,26.8364,328.6681,13.2842,315.3839,341.9523
19.5,22.2266,171.0991,125.3797,7.6179,27.0017,331.0984,13.4833,317.6151,344.5816
19.75,22.2928,172.2466,126.4107,7.6378,27.1618,333.4569,13.7126,319.7443,347.1694
20.0,22.3567,173.3593,127.4119,7.6571,27.317,335.7454,13.9711,321.7743,349.7164
20.25,22.4184,174.4383,128.3841,7.6757,27.4674,337.9654,14.2576,323.7078,352.2231
20.5,22.4781,175.4842,129.3279,7.6936,27.6131,340.1187,14.5707,325.548,354.6895
20.75,22.5357,176.498,130.2438,7.711,27.7542,342.207,14.9088,327.2982,357.1157
21.0,22.5914,177.4805,131.1327,7.7277,27.8908,344.2317,15.27,328.9618,359.5017
21.25,22.6452,178.4325,131.995,7.7439,28.0232,346.1947,15.6525,330.5422,361.8471
21.5,22.6972,179.355,132.8315,7.7595,28.1513,348.0973,16.0544,332.0429,364.1518
21.75,22.7474,180.2486,133.6428,7.7746,28.2754,349.9414,16.474,333.4673,366.4154
22.0,22.7959,181.1141,134.4295,7.7892,28.3955,351.7283,16.9094,334.8189,368.6376
22.25,22.8427,181.9524,135.1922,7.8033,28.5118,353.4596,17.3588,336.1008,370.8184
22.5,22.888,182.7642,135.9315,7.8169,28.6243,355.1368,17.8205,337.3164,372.9573
22.75,22.9317,183.5502,136.6481,7.83,28.7332,356.7615,18.2929,338.4686,375.0544
23.0,22.9739,184.3112,137.3426,7.8427,28.8386,358.335,18.7744,339.5606,377.1095
23.25,23.0147,185.048,138.0155,7.8549,28.9405,359.8589,19.2637,340.5952,379.1226
23.5,23.0541,185.7611,138.6674,7.8668,29.0392,361.3344,19.7593,341.5752,381.0937
23.75,23.0921,186.4513,139.2989,7.8782,29.1346,362.7631,20.26,342.5031,383.0231
24.0,23.1288,187.1193,139.9106,7.8892,29.227,364.1461,20.7646,343.3815,384.9107
24.25,23.1643,187.7657,140.503,7.8998,29.3163,365.4849,21.2721,344.2128,386.757
24.5,23.1986,188.3912,141.0767,7.9101,29.4027,366.7807,21.7815,344.9993,388.5622
24.75,23.2317,188.9964,141.6321,7.9201,29.4863,368.0349,22.2917,345.7432,390.3266
25.0,23.2637,189.5819,142.1699,7.9296,29.5671,369.2485,22.802,346.4465,392.0505
25.25,23.2945,190.1484,142.6905,7.9389,29.6452,370.4229,23.3116,347.1113,393.7345
25.5,23.3244,190.6963,143.1944,7.9478,29.7208,371.5592,23.8198,347.7394,395.379
