Age,DBH_Est,Stem,Branch,Leaf,Root,Biomass_Est,CI,Biomass_CI_Lower,Biomass_CI_Upper
14.0,19.9058,133.5099,92.5197,6.9136,21.6803,254.6236,12.1605,242.4631,266.7841
14.25,20.0359,135.481,94.196,6.9533,21.9633,258.5936,12.0444,246.5492,270.638
14.5,20.1624,137.4131,95.8444,6.992,22.2402,262.4896,11.9339,250.5557,274.4235
14.75,20.2855,139.3071,97.4654,7.0295,22.5112,266.3132,11.8311,254.4822,278.1443
15.0,20.4052,141.164,99.0596,7.066,22.7765,270.0661,11.7381,258.328,281.8042
15.25,20.5218,142.9848,100.6272,7.1015,23.0363,273.7497,11.6571,262.0926,285.4068
15.5,20.6354,144.7703,102.1688,7.136,23.2906,277.3657,11.59,265.7758,288.9557
15.75,20.746,146.5213,103.6849,7.1696,23.5397,280.9156,11.5385,269.3771,292.4541
16.0,20.8537,148.2388,105.1759,7.2024,23.7837,284.4008,11.5043,272.8965,295.9051
16.25,20.9587,149.9236,106.6423,7.2343,24.0227,287.8229,11.4888,276.3341,299.3117
16.5,21.0612,151.5765,108.0845,7.2654,24.2569,291.1833,11.4933,279.69,302.6765
16.75,21.161,153.1982,109.5031,7.2957,24.4864,294.4834,11.5187,282.9647,306.0021
17.0,21.2585,154.7897,110.8984,7.3252,24.7113,297.7246,11.5658,286.1588,309.2904
17.25,21.3536,156.3515,112.2709,7.354,24.9318,300.9083,11.6352,289.2731,312.5434
17.5,21.4464,157.8846,113.6211,7.3821,25.148,304.0358,11.727,292.3088,315.7628
17.75,21.537,159.3895,114.9494,7.4096,25.36,307.1084,11.8415,295.2669,318.9499
18.0,21.6256,160.867,116.2562,7.4364,25.5679,310.1274,11.9783,298.1491,322.1058
18.25,21.7121,162.3178,117.542,7.4625,25.7718,313.0941,12.1372,300.9569,325.2313
18.5,21.7966,163.7424,118.8073,7.4881,25.9718,316.0096,12.3175,303.6921,328.3271
18.75,21.8792,165.1417,120.0523,7.513,26.1681,318.8751,12.5187,306.3564,331.3938
19.0,21.9599,166.5161,121.2776,7.5374,26.3607,321.6918,12.7397,308.9521,334.4316
19.25,22.0389,167.8663,122.4835,7.5612,26.5498,324.4608,12.9799,311.481,337.4407
19.5,22.1162,169.1929,123.6705,7.5846,26.7353,327.1833,13.2381,313.9452,340.4213
19.75,22.1918,170.4965,124.8388,7.6074,26.9175,329.8602,13.5132,316.3469,343.3734
20.0,22.2658,171.7775,125.989,7.6297,27.0964,332.4926,13.8044,318.6882,346.2969
20.25,22.3382,173.0366,127.1214,7.6515,27.272,335.0815,14.1104,320.9711,349.1919
20.5,22.4091,174.2743,128.2363,7.6728,27.4446,337.628,14.4302,323.1978,352.0582
20.75,22.4785,175.4911,129.3341,7.6937,27.614,340.1329,14.7628,325.3701,354.8957
21.0,22.5465,176.6874,130.4151,7.7142,27.7805,342.5973,15.1071,327.4902,357.7044
21.25,22.6131,177.8638,131.4798,7.7342,27.9441,345.022,15.4623,329.5597,360.4843
21.5,22.6784,179.0208,132.5284,7.7539,28.1049,347.4079,15.8272,331.5807,363.2352
21.75,22.7423,180.1587,133.5612,7.7731,28.2629,349.7559,16.2012,333.5547,365.9571
22.0,22.805,181.2781,134.5786,7.792,28.4182,352.0669,16.5833,335.4836,368.6501
22.25,22.8665,182.3793,135.5809,7.8104,28.5709,354.3416,16.9727,337.3689,371.3142
22.5,22.9268,183.4628,136.5684,7.8286,28.7211,356.5808,17.3687,339.2121,373.9495
22.75,22.986,184.529,137.5414,7.8463,28.8687,358.7853,17.7706,341.0148,376.5559
23.0,23.044,185.5782,138.5001,7.8637,29.0139,360.956,18.1777,342.7782,379.1337
23.25,23.1009,186.6109,139.445,7.8808,29.1567,363.0934,18.5896,344.5039,381.683
23.5,23.1567,187.6274,140.3762,7.8976,29.2972,365.1984,19.0055,346.1929,384.2039
23.75,23.2116,188.6281,141.2941,7.914,29.4354,367.2716,19.4249,347.8467,386.6966
24.0,23.2654,189.6134,142.1988,7.9302,29.5714,369.3137,19.8475,349.4662,389.1612
24.25,23.3182,190.5835,143.0907,7.946,29.7052,371.3254,20.2727,351.0527,391.5982
24.5,23.3701,191.5389,143.97,7.9615,29.837,373.3074,20.7002,352.6072,394.0075
24.75,23.4211,192.4798,144.8369,7.9768,29.9666,375.2601,21.1294,354.1307,396.3896
25.0,23.4712,193.4065,145.6917,7.9918,30.0942,377.1843,21.5602,355.6241,398.7445
25.25,23.5203,194.3194,146.5347,8.0065,30.2199,379.0806,21.9921,357.0885,401.0727
25.5,23.5687,195.2188,147.3661,8.021,30.3436,380.9495,22.4249,358.5246,403.3744
25.75,23.6162,196.1049,148.186,8.0352,30.4654,382.7916,22.8583,359.9333,405.6499
26.0,23.6629,196.9781,148.9948,8.0492,30.5854,384.6075,23.292,361.3155,407.8995
26.25,23.7088,197.8385,149.7926,8.0629,30.7036,386.3976,23.7258,362.6718,410.1234
26.5,23.7539,198.6865,150.5796,8.0764,30.82,388.1625,24.1594,364.0031,412.3219
26.75,23.7983,199.5223,151.356,8.0897,30.9347,389.9028,24.5927,365.3101,414.4955
27.0,23.8419,200.3463,152.1221,8.1027,31.0477,391.6189,25.0255,366.5934,416.6443
27.25,23.8848,201.1585,152.8781,8.1156,31.1591,393.3112,25.4575,367.8537,418.7688
27.5,23.927,201.9593,153.6241,8.1282,31.2688,394.9804,25.8887,369.0917,420.8691
27.75,23.9686,202.7489,154.3603,8.1406,31.377,396.6268,26.3189,370.3078,422.9457
28.0,24.0095,203.5276,155.0869,8.1528,31.4836,398.2508,26.748,371.5028,424.9988
28.25,24.0497,204.2954,155.8041,8.1648,31.5886,399.853,27.1758,372.6772,427.0287
28.5,24.0893,205.0528,156.512,8.1767,31.6922,401.4337,27.6022,373.8315,429.0359
28.75,24.1283,205.7998,157.2108,8.1883,31.7944,402.9933,28.0271,374.9662,431.0204
29.0,24.1666,206.5367,157.9008,8.1997,31.8951,404.5323,28.4505,376.0818,432.9828
29.25,24.2044,207.2637,158.582,8.211,31.9944,406.0511,28.8722,377.1789,434.9233
29.5,24.2416,207.9809,159.2546,8.2221,32.0923,407.55,29.2921,378.2579,436.8421
29.75,24.2783,208.6887,159.9188,8.233,32.1889,409.0294,29.7102,379.3192,438.7397
30.0,24.3143,209.387,160.5747,8.2438,32.2842,410.4898,30.1264,380.3633,440.6162
30.25,24.3499,210.0762,161.2225,8.2544,32.3782,411.9313,30.5407,381.3906,442.4721
30.5,24.3849,210.7564,161.8623,8.2648,32.471,413.3545,30.953,382.4015,444.3075
30.75,24.4194,211.4278,162.4942,8.2751,32.5625,414.7596,31.3632,383.3964,446.1228
31.0,24.4534,212.0905,163.1185,8.2853,32.6528,416.147,31.7713,384.3757,447.9183
31.25,24.4869,212.7447,163.7351,8.2952,32.7419,417.5169,32.1772,385.3397,449.6942
31.5,24.5199,213.3906,164.3443,8.3051,32.8298,418.8698,32.581,386.2888,451.4508
31.75,24.5525,214.0283,164.9463,8.3148,32.9166,420.2059,32.9826,387.2233,453.1885
32.0,24.5846,214.6579,165.541,8.3243,33.0023,421.5255,33.3819,388.1437,454.9074
32.25,24.6162,215.2797,166.1287,8.3338,33.0869,422.829,33.7789,389.0501,456.6079
32.5,24.6474,215.8938,166.7094,8.343,33.1703,424.1166,34.1736,389.9429,458.2902
32.75,24.6781,216.5002,167.2833,8.3522,33.2528,425.3885,34.5661,390.8225,459.9546
33.0,24.7085,217.0992,167.8505,8.3612,33.3342,426.6452,34.9561,391.689,461.6013
33.25,24.7384,217.6909,168.4112,8.3701,33.4145,427.8867,35.3438,392.5429,463.2306
33.5,24.7679,218.2754,168.9653,8.3789,33.4939,429.1135,35.7292,393.3843,464.8427
33.75,24.797,218.8528,169.5131,8.3876,33.5723,430.3257,36.1122,394.2136,466.4379
34.0,24.8257,219.4233,170.0546,8.3961,33.6497,431.5237,36.4928,395.0309,468.0165
34.25,24.854,219.9869,170.59,8.4045,33.7262,432.7076,36.871,395.8366,469.5786
34.5,24.882,220.5439,171.1193,8.4129,33.8017,433.8777,37.2468,396.631,471.1245
34.75,24.9096,221.0943,171.6426,8.4211,33.8764,435.0343,37.6202,397.4141,472.6545
35.0,24.9368,221.6382,172.1601,8.4292,33.9501,436.1775,37.9912,398.1864,474.1687
