Age,DBH_Est,Leaf,LeaflessAGB,StumpRoot,Biomass_Est,CI,Biomass_CI_Lower,Biomass_CI_Upper
15.75,20.9087,3.8435,243.6621,44.5321,292.0377,15.5442,276.4935,307.5819
16.0,21.0189,3.8943,247.2531,45.1141,296.2615,15.4406,280.8209,311.7021
16.25,21.1255,3.9438,250.7572,45.6811,300.3821,15.342,285.0401,315.7242
16.5,21.2285,3.9921,254.1752,46.2333,304.4006,15.2523,289.1482,319.6529
16.75,21.3281,4.039,257.5078,46.7709,308.3178,15.1754,293.1424,323.4932
17.0,21.4244,4.0847,260.756,47.2942,312.1349,15.115,297.0199,327.25
17.25,21.5174,4.1292,263.9207,47.8033,315.8532,15.075,300.7783,330.9282
17.5,21.6074,4.1725,267.0031,48.2985,319.4741,15.0587,304.4154,334.5328
17.75,21.6944,4.2146,270.0043,48.78,322.9989,15.0693,307.9295,338.0682
18.0,21.7784,4.2555,272.9254,49.2481,326.429,15.1097,311.3193,341.5387
18.25,21.8596,4.2953,275.7678,49.703,329.7661,15.1823,314.5838,344.9484
18.5,21.9381,4.3339,278.5327,50.1451,333.0117,15.289,317.7227,348.3007
18.75,22.014,4.3715,281.2215,50.5745,336.1675,15.4312,320.7364,351.5987
19.0,22.0873,4.408,283.8357,50.9915,339.2351,15.6097,323.6254,354.8448
19.25,22.1582,4.4434,286.3765,51.3964,342.2163,15.825,326.3913,358.0413
19.5,22.2266,4.4778,288.8454,51.7895,345.1127,16.0768,329.0359,361.1895
19.75,22.2928,4.5111,291.244,52.171,347.9262,16.3646,331.5616,364.2907
20.0,22.3567,4.5435,293.5736,52.5412,350.6584,16.6872,333.9712,367.3456
20.25,22.4184,4.575,295.8357,52.9004,353.3111,17.0433,336.2678,370.3544
20.5,22.4781,4.6054,298.0319,53.2488,355.8862,17.4313,338.4549,373.3174
20.75,22.5357,4.635,300.1636,53.5867,358.3853,17.8491,340.5362,376.2344
21.0,22.5914,4.6637,302.2322,53.9143,360.8103,18.2948,342.5155,379.1051
21.25,22.6452,4.6915,304.2394,54.232,363.1629,18.7662,344.3967,381.9291
21.5,22.6972,4.7184,306.1864,54.5399,365.4448,19.2611,346.1837,384.7059
21.75,22.7474,4.7446,308.0749,54.8384,367.6579,19.7773,347.8805,387.4352
22.0,22.7959,4.7699,309.9063,55.1276,369.8037,20.3127,349.491,390.1165
