Age,DBH_Est,Leaf,LeaflessAGB,StumpRoot,Biomass_Est,CI,Biomass_CI_Lower,Biomass_CI_Upper
0,2,0.0109,0.3549,0.1352,0.501,0,0.501,0.501
0.25,2.3165,0.0157,0.5341,0.1943,0.7442,0.1703,0.5739,0.9145
0.5,2.7129,0.0234,0.829,0.2871,1.1395,0.3957,0.7437,1.5352
0.75,3.141,0.0337,1.2464,0.4123,1.6924,0.6848,1.0076,2.3773
1,3.5874,0.0469,1.8042,0.5725,2.4236,1.0363,1.3873,3.4599
1.25,4.0449,0.0634,2.5196,0.7701,3.3531,1.4444,1.9086,4.7975
1.5,4.5089,0.0831,3.4087,1.007,4.4988,1.9007,2.598,6.3995
1.75,4.9761,0.1064,4.485,1.2846,5.876,2.3949,3.4811,8.271
2,5.4443,0.1331,5.7602,1.6041,7.4974,2.916,4.5814,10.4135
2.25,5.9115,0.1636,7.2434,1.9658,9.3728,3.4527,5.9201,12.8256
