Age,DBH_Est,Leaf,LeaflessAGB,StumpRoot,Biomass_Est,CI,Biomass_CI_Lower,Biomass_CI_Upper
15.75,20.746,3.7691,238.4199,43.6808,285.8698,13.4776,272.3922,299.3474
16.0,20.8537,3.8183,241.8824,44.2433,289.9439,13.4587,276.4853,303.4026
16.25,20.9587,3.8665,245.2881,44.7958,293.9504,13.4609,280.4895,307.4113
16.5,21.0612,3.9139,248.6383,45.3384,297.8905,13.4859,284.4046,311.3764
16.75,21.161,3.9604,251.9338,45.8713,301.7655,13.5349,288.2306,315.3004
17.0,21.2585,4.0062,255.1757,46.3948,305.5767,13.609,291.9677,319.1856
17.25,21.3536,4.0511,258.3651,46.9091,309.3253,13.7089,295.6164,323.0342
17.5,21.4464,4.0952,261.503,47.4144,313.0126,13.835,299.1776,326.8477
17.75,21.537,4.1386,264.5903,47.9109,316.6398,13.9877,302.6522,330.6275
18.0,21.6256,4.1813,267.6281,48.3988,320.2082,14.1666,306.0416,334.3748
18.25,21.7121,4.2232,270.6174,48.8783,323.7189,14.3716,309.3474,338.0905
18.5,21.7966,4.2644,273.5592,49.3496,327.1732,14.602,312.5712,341.7751
18.75,21.8792,4.3049,276.4543,49.8128,330.572,14.8571,315.7149,345.4292
19.0,21.9599,4.3447,279.3038,50.2683,333.9167,15.136,318.7807,349.0528
19.25,22.0389,4.3839,282.1085,50.716,337.2084,15.4378,321.7706,352.6461
19.5,22.1162,4.4224,284.8693,51.1563,340.448,15.7612,324.6868,356.2091
19.75,22.1918,4.4603,287.5872,51.5892,343.6367,16.1051,327.5316,359.7418
20.0,22.2658,4.4975,290.263,52.015,346.7755,16.4682,330.3073,363.2438
20.25,22.3382,4.5341,292.8976,52.4338,349.8656,16.8494,333.0161,366.715
20.5,22.4091,4.5702,295.4918,52.8458,352.9078,17.2475,335.6603,370.1552
20.75,22.4785,4.6056,298.0464,53.2511,355.9031,17.6611,338.2421,373.5642
21.0,22.5465,4.6405,300.5622,53.6499,358.8526,18.0891,340.7635,376.9418
21.25,22.6131,4.6749,303.0401,54.0422,361.7572,18.5304,343.2268,380.2877
21.5,22.6784,4.7087,305.4808,54.4284,364.6178,18.9839,345.6339,383.6017
21.75,22.7423,4.7419,307.885,54.8084,367.4353,19.4485,347.9867,386.8838
22.0,22.805,4.7747,310.2534,55.1824,370.2105,19.9233,350.2872,390.1338
22.25,22.8665,4.8069,312.5869,55.5506,372.9444,20.4073,352.5372,393.3517
22.5,22.9268,4.8386,314.8861,55.9131,375.6378,20.8995,354.7383,396.5374
22.75,22.986,4.8699,317.1517,56.27,378.2916,21.3993,356.8923,399.6908
23.0,23.044,4.9007,319.3843,56.6214,380.9064,21.9057,359.0007,402.8121
23.25,23.1009,4.931,321.5846,56.9675,383.4831,22.4182,361.0649,405.9013
23.5,23.1567,4.9608,323.7534,57.3084,386.0226,22.9359,363.0866,408.9585
23.75,23.2116,4.9902,325.8911,57.6441,388.5254,23.4584,365.067,411.9838
24.0,23.2654,5.0192,327.9984,57.9748,390.9924,23.9849,367.0075,414.9773
24.25,23.3182,5.0477,330.0759,58.3006,393.4242,24.515,368.9093,417.9392
24.5,23.3701,5.0759,332.1243,58.6216,395.8217,25.0481,370.7736,420.8698
24.75,23.4211,5.1036,334.1439,58.9378,398.1854,25.5838,372.6016,423.7691
25.0,23.4712,5.1309,336.1356,59.2495,400.5159,26.1216,374.3943,426.6376
25.25,23.5203,5.1578,338.0996,59.5567,402.8141,26.6612,376.1529,429.4753
25.5,23.5687,5.1843,340.0367,59.8594,405.0805,27.2021,377.8784,432.2825
25.75,23.6162,5.2105,341.9473,60.1579,407.3156,27.744,379.5716,435.0596
26.0,23.6629,5.2362,343.832,60.452,409.5202,28.2866,381.2336,437.8069
26.25,23.7088,5.2617,345.6911,60.7421,411.6949,28.8296,382.8652,440.5245
26.5,23.7539,5.2867,347.5253,61.028,413.8401,29.3728,384.4673,443.2128
26.75,23.7983,5.3114,349.335,61.31,415.9564,29.9157,386.0407,445.8722
27.0,23.8419,5.3358,351.1207,61.588,418.0445,30.4584,387.5861,448.5029
27.25,23.8848,5.3598,352.8827,61.8623,420.1048,31.0004,389.1044,451.1052
27.5,23.927,5.3836,354.6216,62.1328,422.1379,31.5416,390.5963,453.6795
27.75,23.9686,5.4069,356.3378,62.3996,424.1443,32.0818,392.0624,456.2261
28.0,24.0095,5.43,358.0316,62.6627,426.1244,32.6209,393.5035,458.7453
28.25,24.0497,5.4528,359.7036,62.9224,428.0788,33.1587,394.9201,461.2375
28.5,24.0893,5.4752,361.3541,63.1786,430.008,33.695,396.3129,463.703
28.75,24.1283,5.4974,362.9836,63.4314,431.9123,34.2298,397.6826,466.1421
29.0,24.1666,5.5193,364.5923,63.6808,433.7924,34.7627,399.0296,468.5551
29.25,24.2044,5.5409,366.1807,63.927,435.6485,35.2939,400.3546,470.9425
29.5,24.2416,5.5622,367.7491,64.1699,437.4813,35.8231,401.6581,473.3044
29.75,24.2783,5.5832,369.298,64.4098,439.2909,36.3503,402.9407,475.6412
30.0,24.3143,5.604,370.8276,64.6465,441.078,36.8753,404.2027,477.9533
30.25,24.3499,5.6245,372.3383,64.8802,442.8429,37.3981,405.4448,480.241
30.5,24.3849,5.6447,373.8304,65.1109,444.586,37.9187,406.6673,482.5046
